Wavelength,V
390,4.14616E-04
390,4.22728E-04
390,4.30990E-04
390,4.39407E-04
390,4.47979E-04
390,4.56710E-04
391,4.65602E-04
391,4.74658E-04
391,4.83880E-04
391,4.93271E-04
391,5.02833E-04
391,5.12570E-04
391,5.22484E-04
391,5.32577E-04
391,5.42853E-04
392,5.53314E-04
392,5.63964E-04
392,5.74804E-04
392,5.85838E-04
392,5.97069E-04
392,6.08499E-04
392,6.20132E-04
392,6.31971E-04
392,6.44018E-04
392,6.56276E-04
392,6.68750E-04
393,6.81441E-04
393,6.94352E-04
393,7.07488E-04
393,7.20851E-04
393,7.34444E-04
393,7.48270E-04
393,7.62333E-04
393,7.76635E-04
393,7.91180E-04
394,8.05972E-04
394,8.21013E-04
394,8.36307E-04
394,8.51857E-04
394,8.67667E-04
394,8.83739E-04
394,9.00077E-04
394,9.16685E-04
394,9.33565E-04
394,9.50721E-04
394,9.68157E-04
395,9.85875E-04
395,1.00388E-03
395,1.02217E-03
395,1.04076E-03
395,1.05965E-03
395,1.07883E-03
395,1.09832E-03
395,1.11811E-03
395,1.13821E-03
396,1.15863E-03
396,1.17936E-03
396,1.20042E-03
396,1.22179E-03
396,1.24350E-03
396,1.26553E-03
396,1.28790E-03
396,1.31060E-03
396,1.33365E-03
396,1.35704E-03
396,1.38077E-03
397,1.40485E-03
397,1.42929E-03
397,1.45409E-03
397,1.47924E-03
397,1.50475E-03
397,1.53063E-03
397,1.55688E-03
397,1.58350E-03
397,1.61050E-03
398,1.63787E-03
398,1.66562E-03
398,1.69376E-03
398,1.72228E-03
398,1.75119E-03
398,1.78049E-03
398,1.81019E-03
398,1.84028E-03
398,1.87077E-03
398,1.90166E-03
398,1.93296E-03
399,1.96466E-03
399,1.99677E-03
399,2.02929E-03
399,2.06222E-03
399,2.09557E-03
399,2.12933E-03
399,2.16352E-03
399,2.19812E-03
399,2.23314E-03
400,2.26858E-03
400,2.30445E-03
400,2.34075E-03
400,2.37747E-03
400,2.41462E-03
400,2.45219E-03
400,2.49020E-03
400,2.52864E-03
400,2.56752E-03
400,2.60684E-03
400,2.64660E-03
401,2.68681E-03
401,2.72748E-03
401,2.76859E-03
401,2.81017E-03
401,2.85222E-03
401,2.89473E-03
401,2.93771E-03
401,2.98117E-03
401,3.02511E-03
402,3.06954E-03
402,3.11446E-03
402,3.15987E-03
402,3.20578E-03
402,3.25219E-03
402,3.29912E-03
402,3.34655E-03
402,3.39451E-03
402,3.44299E-03
402,3.49200E-03
402,3.54154E-03
403,3.59162E-03
403,3.64225E-03
403,3.69343E-03
403,3.74517E-03
403,3.79747E-03
403,3.85033E-03
403,3.90378E-03
403,3.95780E-03
403,4.01241E-03
404,4.06761E-03
404,4.12342E-03
404,4.17983E-03
404,4.23685E-03
404,4.29450E-03
404,4.35277E-03
404,4.41168E-03
404,4.47123E-03
404,4.53143E-03
404,4.59229E-03
404,4.65381E-03
405,4.71601E-03
405,4.77889E-03
405,4.84247E-03
405,4.90674E-03
405,4.97172E-03
405,5.03741E-03
405,5.10382E-03
405,5.17096E-03
405,5.23881E-03
406,5.30738E-03
406,5.37667E-03
406,5.44668E-03
406,5.51741E-03
406,5.58885E-03
406,5.66101E-03
406,5.73389E-03
406,5.80748E-03
406,5.88179E-03
406,5.95680E-03
406,6.03252E-03
407,6.10895E-03
407,6.18607E-03
407,6.26389E-03
407,6.34241E-03
407,6.42161E-03
407,6.50150E-03
407,6.58207E-03
407,6.66331E-03
407,6.74522E-03
408,6.82779E-03
408,6.91101E-03
408,6.99489E-03
408,7.07940E-03
408,7.16454E-03
408,7.25031E-03
408,7.33670E-03
408,7.42369E-03
408,7.51127E-03
408,7.59945E-03
408,7.68820E-03
409,7.77751E-03
409,7.86738E-03
409,7.95778E-03
409,8.04872E-03
409,8.14017E-03
409,8.23213E-03
409,8.32457E-03
409,8.41749E-03
409,8.51086E-03
410,8.60468E-03
410,8.69893E-03
410,8.79359E-03
410,8.88864E-03
410,8.98407E-03
410,9.07986E-03
410,9.17599E-03
410,9.27246E-03
410,9.36926E-03
410,9.46640E-03
410,9.56386E-03
411,9.66166E-03
411,9.75978E-03
411,9.85822E-03
411,9.95699E-03
411,1.00561E-02
411,1.01555E-02
411,1.02552E-02
411,1.03553E-02
411,1.04556E-02
412,1.05563E-02
412,1.06573E-02
412,1.07587E-02
412,1.08603E-02
412,1.09623E-02
412,1.10646E-02
412,1.11672E-02
412,1.12701E-02
412,1.13733E-02
412,1.14769E-02
412,1.15808E-02
413,1.16850E-02
413,1.17896E-02
413,1.18944E-02
413,1.19997E-02
413,1.21052E-02
413,1.22111E-02
413,1.23174E-02
413,1.24239E-02
413,1.25309E-02
414,1.26382E-02
414,1.27458E-02
414,1.28539E-02
414,1.29622E-02
414,1.30710E-02
414,1.31801E-02
414,1.32897E-02
414,1.33996E-02
414,1.35099E-02
414,1.36206E-02
414,1.37317E-02
415,1.38433E-02
415,1.39552E-02
415,1.40676E-02
415,1.41805E-02
415,1.42938E-02
415,1.44075E-02
415,1.45217E-02
415,1.46363E-02
415,1.47514E-02
416,1.48668E-02
416,1.49827E-02
416,1.50990E-02
416,1.52156E-02
416,1.53327E-02
416,1.54500E-02
416,1.55678E-02
416,1.56858E-02
416,1.58042E-02
416,1.59229E-02
416,1.60419E-02
417,1.61612E-02
417,1.62808E-02
417,1.64006E-02
417,1.65206E-02
417,1.66409E-02
417,1.67614E-02
417,1.68821E-02
417,1.70030E-02
417,1.71241E-02
418,1.72453E-02
418,1.73666E-02
418,1.74881E-02
418,1.76096E-02
418,1.77313E-02
418,1.78530E-02
418,1.79748E-02
418,1.80966E-02
418,1.82184E-02
418,1.83403E-02
418,1.84621E-02
419,1.85838E-02
419,1.87056E-02
419,1.88272E-02
419,1.89488E-02
419,1.90702E-02
419,1.91915E-02
419,1.93126E-02
419,1.94336E-02
419,1.95544E-02
420,1.96749E-02
420,1.97952E-02
420,1.99153E-02
420,2.00351E-02
420,2.01545E-02
420,2.02737E-02
420,2.03925E-02
420,2.05110E-02
420,2.06291E-02
420,2.07470E-02
420,2.08645E-02
421,2.09817E-02
421,2.10987E-02
421,2.12154E-02
421,2.13318E-02
421,2.14481E-02
421,2.15640E-02
421,2.16798E-02
421,2.17954E-02
421,2.19108E-02
422,2.20260E-02
422,2.21411E-02
422,2.22561E-02
422,2.23709E-02
422,2.24857E-02
422,2.26004E-02
422,2.27151E-02
422,2.28297E-02
422,2.29443E-02
422,2.30589E-02
422,2.31735E-02
423,2.32882E-02
423,2.34029E-02
423,2.35178E-02
423,2.36328E-02
423,2.37479E-02
423,2.38632E-02
423,2.39786E-02
423,2.40943E-02
423,2.42103E-02
424,2.43265E-02
424,2.44430E-02
424,2.45598E-02
424,2.46770E-02
424,2.47945E-02
424,2.49125E-02
424,2.50309E-02
424,2.51497E-02
424,2.52691E-02
424,2.53890E-02
424,2.55094E-02
425,2.56304E-02
425,2.57521E-02
425,2.58744E-02
425,2.59973E-02
425,2.61211E-02
425,2.62455E-02
425,2.63707E-02
425,2.64967E-02
425,2.66234E-02
426,2.67509E-02
426,2.68791E-02
426,2.70080E-02
426,2.71377E-02
426,2.72681E-02
426,2.73992E-02
426,2.75311E-02
426,2.76637E-02
426,2.77970E-02
426,2.79310E-02
426,2.80657E-02
427,2.82012E-02
427,2.83373E-02
427,2.84742E-02
427,2.86117E-02
427,2.87499E-02
427,2.88888E-02
427,2.90284E-02
427,2.91687E-02
427,2.93096E-02
428,2.94513E-02
428,2.95935E-02
428,2.97364E-02
428,2.98800E-02
428,3.00242E-02
428,3.01691E-02
428,3.03146E-02
428,3.04607E-02
428,3.06074E-02
428,3.07548E-02
428,3.09028E-02
429,3.10513E-02
429,3.12005E-02
429,3.13502E-02
429,3.15005E-02
429,3.16514E-02
429,3.18029E-02
429,3.19549E-02
429,3.21075E-02
429,3.22606E-02
430,3.24143E-02
430,3.25685E-02
430,3.27232E-02
430,3.28784E-02
430,3.30342E-02
430,3.31904E-02
430,3.33471E-02
430,3.35043E-02
430,3.36620E-02
430,3.38201E-02
430,3.39788E-02
431,3.41379E-02
431,3.42975E-02
431,3.44575E-02
431,3.46181E-02
431,3.47791E-02
431,3.49406E-02
431,3.51026E-02
431,3.52650E-02
431,3.54279E-02
432,3.55913E-02
432,3.57551E-02
432,3.59194E-02
432,3.60841E-02
432,3.62493E-02
432,3.64149E-02
432,3.65810E-02
432,3.67476E-02
432,3.69146E-02
432,3.70820E-02
432,3.72499E-02
433,3.74182E-02
433,3.75869E-02
433,3.77561E-02
433,3.79257E-02
433,3.80957E-02
433,3.82661E-02
433,3.84370E-02
433,3.86083E-02
433,3.87799E-02
434,3.89520E-02
434,3.91245E-02
434,3.92974E-02
434,3.94707E-02
434,3.96444E-02
434,3.98184E-02
434,3.99929E-02
434,4.01677E-02
434,4.03429E-02
434,4.05185E-02
434,4.06944E-02
435,4.08707E-02
435,4.10474E-02
435,4.12244E-02
435,4.14017E-02
435,4.15794E-02
435,4.17574E-02
435,4.19358E-02
435,4.21144E-02
435,4.22933E-02
436,4.24724E-02
436,4.26518E-02
436,4.28314E-02
436,4.30111E-02
436,4.31910E-02
436,4.33710E-02
436,4.35511E-02
436,4.37312E-02
436,4.39114E-02
436,4.40917E-02
436,4.42719E-02
437,4.44521E-02
437,4.46322E-02
437,4.48122E-02
437,4.49921E-02
437,4.51718E-02
437,4.53514E-02
437,4.55307E-02
437,4.57098E-02
437,4.58886E-02
438,4.60672E-02
438,4.62454E-02
438,4.64232E-02
438,4.66006E-02
438,4.67776E-02
438,4.69542E-02
438,4.71303E-02
438,4.73058E-02
438,4.74808E-02
438,4.76552E-02
438,4.78289E-02
439,4.80020E-02
439,4.81745E-02
439,4.83461E-02
439,4.85171E-02
439,4.86872E-02
439,4.88565E-02
439,4.90249E-02
439,4.91924E-02
439,4.93590E-02
440,4.95246E-02
440,4.96892E-02
440,4.98527E-02
440,5.00151E-02
440,5.01764E-02
440,5.03366E-02
440,5.04955E-02
440,5.06533E-02
440,5.08099E-02
440,5.09654E-02
