Wavelength,x,y,z
390,0.17842,0.02464,0.79694
390,0.17842,0.02466,0.79692
390,0.17842,0.02468,0.79691
390,0.17841,0.02470,0.79689
390,0.17841,0.02472,0.79687
390,0.17841,0.02473,0.79686
391,0.17840,0.02475,0.79684
391,0.17840,0.02477,0.79683
391,0.17839,0.02479,0.79682
391,0.17839,0.02481,0.79681
391,0.17838,0.02482,0.79679
391,0.17838,0.02484,0.79678
391,0.17837,0.02485,0.79678
391,0.17836,0.02487,0.79677
391,0.17836,0.02488,0.79676
392,0.17835,0.02490,0.79675
392,0.17834,0.02491,0.79675
392,0.17833,0.02492,0.79674
392,0.17832,0.02494,0.79674
392,0.17832,0.02495,0.79674
392,0.17831,0.02496,0.79673
392,0.17830,0.02497,0.79673
392,0.17829,0.02498,0.79673
392,0.17827,0.02499,0.79673
392,0.17826,0.02500,0.79673
392,0.17825,0.02501,0.79673
393,0.17824,0.02502,0.79674
393,0.17823,0.02503,0.79674
393,0.17821,0.02504,0.79675
393,0.17820,0.02505,0.79675
393,0.17819,0.02505,0.79676
393,0.17817,0.02506,0.79676
393,0.17816,0.02507,0.79677
393,0.17815,0.02507,0.79678
393,0.17813,0.02508,0.79679
394,0.17812,0.02508,0.79680
394,0.17810,0.02509,0.79681
394,0.17808,0.02509,0.79683
394,0.17807,0.02509,0.79684
394,0.17805,0.02510,0.79685
394,0.17803,0.02510,0.79687
394,0.17802,0.02510,0.79688
394,0.17800,0.02510,0.79690
394,0.17798,0.02510,0.79692
394,0.17796,0.02510,0.79694
394,0.17794,0.02510,0.79695
395,0.17792,0.02510,0.79697
395,0.17790,0.02510,0.79699
395,0.17789,0.02510,0.79702
395,0.17787,0.02510,0.79704
395,0.17784,0.02509,0.79706
395,0.17782,0.02509,0.79708
395,0.17780,0.02509,0.79711
395,0.17778,0.02508,0.79713
395,0.17776,0.02508,0.79716
396,0.17774,0.02507,0.79719
396,0.17772,0.02507,0.79722
396,0.17769,0.02506,0.79724
396,0.17767,0.02505,0.79727
396,0.17765,0.02505,0.79730
396,0.17763,0.02504,0.79733
396,0.17760,0.02503,0.79737
396,0.17758,0.02502,0.79740
396,0.17755,0.02501,0.79743
396,0.17753,0.02500,0.79747
396,0.17751,0.02499,0.79750
397,0.17748,0.02498,0.79754
397,0.17746,0.02497,0.79757
397,0.17743,0.02496,0.79761
397,0.17741,0.02495,0.79765
397,0.17738,0.02494,0.79769
397,0.17735,0.02492,0.79772
397,0.17733,0.02491,0.79776
397,0.17730,0.02489,0.79780
397,0.17727,0.02488,0.79785
398,0.17725,0.02486,0.79789
398,0.17722,0.02485,0.79793
398,0.17719,0.02483,0.79797
398,0.17717,0.02482,0.79802
398,0.17714,0.02480,0.79806
398,0.17711,0.02478,0.79811
398,0.17708,0.02476,0.79815
398,0.17705,0.02474,0.79820
398,0.17703,0.02472,0.79825
398,0.17700,0.02471,0.79830
398,0.17697,0.02469,0.79835
399,0.17694,0.02466,0.79840
399,0.17691,0.02464,0.79845
399,0.17688,0.02462,0.79850
399,0.17685,0.02460,0.79855
399,0.17682,0.02458,0.79860
399,0.17679,0.02455,0.79865
399,0.17676,0.02453,0.79871
399,0.17673,0.02451,0.79876
399,0.17670,0.02448,0.79881
400,0.17667,0.02446,0.79887
400,0.17664,0.02443,0.79893
400,0.17661,0.02441,0.79898
400,0.17658,0.02438,0.79904
400,0.17655,0.02435,0.79910
400,0.17652,0.02432,0.79915
400,0.17649,0.02430,0.79921
400,0.17646,0.02427,0.79927
400,0.17643,0.02424,0.79933
400,0.17640,0.02421,0.79939
400,0.17637,0.02418,0.79945
401,0.17633,0.02415,0.79951
401,0.17630,0.02412,0.79958
401,0.17627,0.02409,0.79964
401,0.17624,0.02406,0.79970
401,0.17621,0.02403,0.79976
401,0.17618,0.02400,0.79983
401,0.17615,0.02397,0.79989
401,0.17611,0.02393,0.79995
401,0.17608,0.02390,0.80002
402,0.17605,0.02387,0.80008
402,0.17602,0.02384,0.80014
402,0.17599,0.02380,0.80021
402,0.17596,0.02377,0.80027
402,0.17593,0.02374,0.80033
402,0.17590,0.02371,0.80040
402,0.17586,0.02367,0.80046
402,0.17583,0.02364,0.80052
402,0.17580,0.02361,0.80059
402,0.17577,0.02358,0.80065
402,0.17574,0.02354,0.80072
403,0.17571,0.02351,0.80078
403,0.17568,0.02348,0.80084
403,0.17565,0.02344,0.80090
403,0.17562,0.02341,0.80097
403,0.17559,0.02338,0.80103
403,0.17556,0.02335,0.80109
403,0.17553,0.02332,0.80115
403,0.17550,0.02328,0.80121
403,0.17547,0.02325,0.80127
404,0.17545,0.02322,0.80133
404,0.17542,0.02319,0.80139
404,0.17539,0.02316,0.80145
404,0.17536,0.02313,0.80151
404,0.17533,0.02310,0.80157
404,0.17530,0.02307,0.80163
404,0.17528,0.02304,0.80169
