Wavelength,L_logE,M_logE,S_logE
390,-3.5037,-3.5967,-2.1038
395,-3.0445,-3.1245,-1.6412
400,-2.6515,-2.7147,-1.2413
405,-2.3204,-2.3631,-0.8994
410,-2.0576,-2.0726,-0.6216
415,-1.8795,-1.856,-0.42
420,-1.7576,-1.6883,-0.2777
425,-1.6575,-1.5418,-0.174
430,-1.5695,-1.4113,-0.0953
435,-1.4872,-1.2951,-0.037
440,-1.4161,-1.1968,-0.0058
445,-1.362,-1.1209,-0.0017
450,-1.3116,-1.0561,-0.0222
455,-1.2585,-0.9962,-0.0535
460,-1.186,-0.922,-0.0902
465,-1.1045,-0.8404,-0.1272
470,-1.0138,-0.7533,-0.1863
475,-0.9238,-0.6733,-0.2767
480,-0.8613,-0.6239,-0.4042
485,-0.791,-0.5674,-0.5402
490,-0.7267,-0.517,-0.6791
495,-0.6342,-0.4405,-0.8046
500,-0.5277,-0.3488,-0.9243
505,-0.4272,-0.2633,-1.0485
510,-0.338,-0.1892,-1.2068
515,-0.2622,-0.1284,-1.3635
520,-0.1976,-0.0793,-1.5313
525,-0.1484,-0.0459,-1.7112
530,-0.1101,-0.0239,-1.8918
535,-0.0773,-0.0069,-2.071
540,-0.0542,-0.0002,-2.251
545,-0.0382,-0.0022,-2.4277
550,-0.0261,-0.0099,-2.6012
555,-0.0142,-0.0205,-2.7716
560,-0.0054,-0.0369,-2.9389
565,-0.0008,-0.0617,-3.1033
570,-0.0005,-0.0952,-3.2648
575,-0.0057,-0.1389,-3.4235
580,-0.014,-0.1906,-3.5794
585,-0.0219,-0.2469,-3.7327
590,-0.0337,-0.312,-3.8834
595,-0.0525,-0.3882,-4.0316
600,-0.0777,-0.4748,-4.1773
605,-0.1092,-0.5711,-4.3205
610,-0.1478,-0.6771,-4.4615
615,-0.1946,-0.7924,-4.6001
620,-0.2491,-0.9139,-4.7365
625,-0.3101,-1.0334,-4.8707
630,-0.3815,-1.1594,-5.0028
635,-0.4688,-1.3073,-5.1328
640,-0.5663,-1.467,-5.2608
645,-0.669,-1.6345,-5.3868
650,-0.7795,-1.8047,-5.5109
655,-0.8992,-1.9615,-5.633
660,-1.0267,-2.1137,-5.7533
665,-1.1609,-2.2722,-5.8718
670,-1.3016,-2.4327,-5.9886
675,-1.449,-2.5949,-6.1036
680,-1.601,-2.7574,-6.2169
685,-1.7556,-2.9185,-6.3285
690,-1.9126,-3.0793,-6.4386
695,-2.0712,-3.2415,-6.547
700,-2.2312,-3.4031,-6.6539
705,-2.3925,-3.5636,-6.7593
710,-2.554,-3.7226,-6.8632
715,-2.7145,-3.8796,-6.9657
720,-2.8744,-4.035,-7.0667
725,-3.0338,-4.189,-7.1664
730,-3.1922,-4.3414,-7.2646
