Wavelength,L,M,S
390,4.15003E-04,3.68349E-04,9.54729E-03
390,4.23072E-04,3.75656E-04,9.72489E-03
390,4.31289E-04,3.83103E-04,9.90580E-03
390,4.39656E-04,3.90693E-04,1.00901E-02
390,4.48176E-04,3.98427E-04,1.02778E-02
390,4.56852E-04,4.06309E-04,1.04690E-02
391,4.65686E-04,4.14341E-04,1.06637E-02
391,4.74680E-04,4.22524E-04,1.08621E-02
391,4.83838E-04,4.30863E-04,1.10641E-02
391,4.93160E-04,4.39359E-04,1.12699E-02
391,5.02650E-04,4.48015E-04,1.14794E-02
391,5.12311E-04,4.56833E-04,1.16928E-02
391,5.22145E-04,4.65817E-04,1.19102E-02
391,5.32155E-04,4.74969E-04,1.21315E-02
391,5.42343E-04,4.84292E-04,1.23569E-02
392,5.52712E-04,4.93787E-04,1.25865E-02
392,5.63264E-04,5.03459E-04,1.28202E-02
392,5.74004E-04,5.13310E-04,1.30582E-02
392,5.84932E-04,5.23343E-04,1.33006E-02
392,5.96052E-04,5.33561E-04,1.35473E-02
392,6.07367E-04,5.43965E-04,1.37986E-02
392,6.18879E-04,5.54561E-04,1.40544E-02
392,6.30592E-04,5.65350E-04,1.43148E-02
392,6.42508E-04,5.76335E-04,1.45800E-02
392,6.54629E-04,5.87519E-04,1.48499E-02
392,6.66960E-04,5.98906E-04,1.51247E-02
393,6.79503E-04,6.10498E-04,1.54045E-02
393,6.92260E-04,6.22299E-04,1.56893E-02
393,7.05235E-04,6.34311E-04,1.59791E-02
393,7.18431E-04,6.46538E-04,1.62742E-02
393,7.31850E-04,6.58983E-04,1.65746E-02
393,7.45496E-04,6.71649E-04,1.68803E-02
393,7.59372E-04,6.84539E-04,1.71914E-02
393,7.73480E-04,6.97657E-04,1.75081E-02
393,7.87824E-04,7.11005E-04,1.78304E-02
394,8.02407E-04,7.24587E-04,1.81584E-02
394,8.17232E-04,7.38406E-04,1.84921E-02
394,8.32301E-04,7.52466E-04,1.88318E-02
394,8.47619E-04,7.66769E-04,1.91774E-02
394,8.63188E-04,7.81320E-04,1.95291E-02
394,8.79012E-04,7.96121E-04,1.98869E-02
394,8.95092E-04,8.11176E-04,2.02510E-02
394,9.11433E-04,8.26489E-04,2.06215E-02
394,9.28038E-04,8.42062E-04,2.09983E-02
394,9.44910E-04,8.57899E-04,2.13817E-02
394,9.62052E-04,8.74003E-04,2.17718E-02
395,9.79467E-04,8.90378E-04,2.21686E-02
395,9.97159E-04,9.07028E-04,2.25722E-02
395,1.01513E-03,9.23956E-04,2.29827E-02
395,1.03338E-03,9.41165E-04,2.34003E-02
395,1.05192E-03,9.58658E-04,2.38250E-02
395,1.07075E-03,9.76440E-04,2.42569E-02
395,1.08987E-03,9.94514E-04,2.46962E-02
395,1.10929E-03,1.01288E-03,2.51429E-02
395,1.12900E-03,1.03155E-03,2.55972E-02
396,1.14902E-03,1.05052E-03,2.60592E-02
396,1.16934E-03,1.06979E-03,2.65289E-02
396,1.18997E-03,1.08938E-03,2.70065E-02
396,1.21091E-03,1.10928E-03,2.74921E-02
396,1.23216E-03,1.12949E-03,2.79858E-02
396,1.25373E-03,1.15002E-03,2.84877E-02
396,1.27563E-03,1.17088E-03,2.89979E-02
396,1.29784E-03,1.19206E-03,2.95166E-02
396,1.32038E-03,1.21357E-03,3.00438E-02
396,1.34325E-03,1.23542E-03,3.05796E-02
396,1.36646E-03,1.25760E-03,3.11243E-02
397,1.38999E-03,1.28012E-03,3.16778E-02
397,1.41387E-03,1.30299E-03,3.22404E-02
397,1.43809E-03,1.32620E-03,3.28120E-02
397,1.46265E-03,1.34976E-03,3.33930E-02
397,1.48756E-03,1.37367E-03,3.39832E-02
397,1.51282E-03,1.39795E-03,3.45830E-02
397,1.53843E-03,1.42258E-03,3.51924E-02
397,1.56440E-03,1.44757E-03,3.58114E-02
397,1.59072E-03,1.47293E-03,3.64404E-02
398,1.61741E-03,1.49866E-03,3.70793E-02
398,1.64446E-03,1.52477E-03,3.77282E-02
398,1.67187E-03,1.55124E-03,3.83874E-02
398,1.69965E-03,1.57810E-03,3.90569E-02
398,1.72781E-03,1.60534E-03,3.97369E-02
398,1.75633E-03,1.63296E-03,4.04274E-02
398,1.78523E-03,1.66097E-03,4.11287E-02
398,1.81451E-03,1.68936E-03,4.18407E-02
398,1.84418E-03,1.71815E-03,4.25637E-02
398,1.87422E-03,1.74734E-03,4.32978E-02
398,1.90464E-03,1.77692E-03,4.40431E-02
399,1.93546E-03,1.80690E-03,4.47997E-02
399,1.96666E-03,1.83729E-03,4.55677E-02
399,1.99825E-03,1.86808E-03,4.63473E-02
399,2.03023E-03,1.89928E-03,4.71386E-02
399,2.06261E-03,1.93089E-03,4.79417E-02
399,2.09538E-03,1.96291E-03,4.87567E-02
399,2.12855E-03,1.99534E-03,4.95838E-02
399,2.16212E-03,2.02819E-03,5.04231E-02
399,2.19609E-03,2.06145E-03,5.12747E-02
400,2.23046E-03,2.09514E-03,5.21388E-02
400,2.26523E-03,2.12924E-03,5.30154E-02
400,2.30041E-03,2.16377E-03,5.39047E-02
400,2.33599E-03,2.19873E-03,5.48067E-02
400,2.37197E-03,2.23410E-03,5.57217E-02
400,2.40836E-03,2.26991E-03,5.66498E-02
400,2.44516E-03,2.30614E-03,5.75910E-02
400,2.48237E-03,2.34280E-03,5.85455E-02
400,2.51999E-03,2.37990E-03,5.95134E-02
400,2.55803E-03,2.41744E-03,6.04949E-02
400,2.59649E-03,2.45542E-03,6.14900E-02
401,2.63537E-03,2.49385E-03,6.24990E-02
401,2.67468E-03,2.53272E-03,6.35219E-02
401,2.71443E-03,2.57206E-03,6.45589E-02
401,2.75460E-03,2.61185E-03,6.56101E-02
401,2.79522E-03,2.65210E-03,6.66757E-02
401,2.83628E-03,2.69283E-03,6.77557E-02
401,2.87778E-03,2.73402E-03,6.88503E-02
401,2.91974E-03,2.77569E-03,6.99596E-02
401,2.96215E-03,2.81784E-03,7.10838E-02
402,3.00502E-03,2.86048E-03,7.22230E-02
402,3.04835E-03,2.90361E-03,7.33772E-02
402,3.09215E-03,2.94723E-03,7.45468E-02
402,3.13642E-03,2.99135E-03,7.57316E-02
402,3.18117E-03,3.03597E-03,7.69320E-02
402,3.22640E-03,3.08110E-03,7.81479E-02
402,3.27211E-03,3.12675E-03,7.93796E-02
402,3.31831E-03,3.17291E-03,8.06271E-02
402,3.36501E-03,3.21960E-03,8.18906E-02
402,3.41221E-03,3.26682E-03,8.31702E-02
402,3.45991E-03,3.31457E-03,8.44661E-02
403,3.50812E-03,3.36287E-03,8.57782E-02
403,3.55685E-03,3.41171E-03,8.71068E-02
403,3.60610E-03,3.46110E-03,8.84520E-02
403,3.65587E-03,3.51105E-03,8.98138E-02
403,3.70617E-03,3.56156E-03,9.11925E-02
403,3.75701E-03,3.61264E-03,9.25880E-02
403,3.80839E-03,3.66429E-03,9.40006E-02
403,3.86033E-03,3.71653E-03,9.54303E-02
403,3.91281E-03,3.76935E-03,9.68772E-02
404,3.96586E-03,3.82277E-03,9.83414E-02
404,4.01947E-03,3.87679E-03,9.98231E-02
404,4.07366E-03,3.93141E-03,1.01322E-01
404,4.12842E-03,3.98665E-03,1.02839E-01
404,4.18378E-03,4.04252E-03,1.04374E-01
404,4.23972E-03,4.09900E-03,1.05926E-01
404,4.29627E-03,4.15613E-03,1.07497E-01
404,4.35342E-03,4.21390E-03,1.09085E-01
404,4.41119E-03,4.27231E-03,1.10691E-01
404,4.46957E-03,4.33139E-03,1.12316E-01
404,4.52859E-03,4.39113E-03,1.13959E-01
405,4.58825E-03,4.45154E-03,1.15620E-01
405,4.64854E-03,4.51264E-03,1.17300E-01
405,4.70950E-03,4.57442E-03,1.18999E-01
405,4.77111E-03,4.63691E-03,1.20715E-01
405,4.83339E-03,4.70010E-03,1.22451E-01
405,4.89635E-03,4.76401E-03,1.24205E-01
405,4.95998E-03,4.82863E-03,1.25978E-01
405,5.02430E-03,4.89398E-03,1.27770E-01
405,5.08929E-03,4.96005E-03,1.29581E-01
406,5.15495E-03,5.02686E-03,1.31411E-01
406,5.22129E-03,5.09439E-03,1.33259E-01
406,5.28830E-03,5.16265E-03,1.35127E-01
406,5.35598E-03,5.23165E-03,1.37013E-01
406,5.42433E-03,5.30139E-03,1.38919E-01
406,5.49335E-03,5.37186E-03,1.40844E-01
406,5.56303E-03,5.44308E-03,1.42788E-01
406,5.63337E-03,5.51504E-03,1.44751E-01
406,5.70437E-03,5.58774E-03,1.46733E-01
406,5.77601E-03,5.66119E-03,1.48734E-01
406,5.84831E-03,5.73538E-03,1.50754E-01
407,5.92125E-03,5.81032E-03,1.52793E-01
407,5.99482E-03,5.88601E-03,1.54851E-01
407,6.06903E-03,5.96245E-03,1.56928E-01
407,6.14387E-03,6.03964E-03,1.59025E-01
407,6.21933E-03,6.11757E-03,1.61140E-01
407,6.29540E-03,6.19626E-03,1.63274E-01
407,6.37207E-03,6.27569E-03,1.65427E-01
407,6.44935E-03,6.35587E-03,1.67599E-01
407,6.52721E-03,6.43680E-03,1.69790E-01
408,6.60566E-03,6.51847E-03,1.71999E-01
408,6.68468E-03,6.60088E-03,1.74227E-01
408,6.76427E-03,6.68404E-03,1.76474E-01
408,6.84441E-03,6.76794E-03,1.78739E-01
408,6.92509E-03,6.85258E-03,1.81023E-01
408,7.00631E-03,6.93795E-03,1.83325E-01
408,7.08805E-03,7.02406E-03,1.85645E-01
408,7.17029E-03,7.11090E-03,1.87983E-01
408,7.25304E-03,7.19846E-03,1.90339E-01
408,7.33627E-03,7.28675E-03,1.92714E-01
408,7.41997E-03,7.37576E-03,1.95106E-01
409,7.50413E-03,7.46548E-03,1.97515E-01
409,7.58873E-03,7.55592E-03,1.99942E-01
409,7.67376E-03,7.64706E-03,2.02387E-01
409,7.75920E-03,7.73890E-03,2.04848E-01
409,7.84503E-03,7.83144E-03,2.07327E-01
409,7.93125E-03,7.92467E-03,2.09822E-01
409,8.01783E-03,8.01859E-03,2.12335E-01
409,8.10475E-03,8.11318E-03,2.14863E-01
409,8.19200E-03,8.20844E-03,2.17408E-01
410,8.27956E-03,8.30437E-03,2.19969E-01
410,8.36741E-03,8.40095E-03,2.22546E-01
410,8.45552E-03,8.49818E-03,2.25139E-01
410,8.54388E-03,8.59606E-03,2.27747E-01
410,8.63247E-03,8.69456E-03,2.30370E-01
410,8.72127E-03,8.79369E-03,2.33008E-01
