Wavelength,r,g,b
390,1.83970e-03,-4.53930e-04,1.21520e-02
395,4.61530e-03,-1.04640e-03,3.11100e-02
400,9.62640e-03,-2.16890e-03,6.23710e-02
405,1.89790e-02,-4.43040e-03,1.31610e-01
410,3.08030e-02,-7.20480e-03,2.27500e-01
415,4.24590e-02,-1.25790e-02,3.58970e-01
420,5.16620e-02,-1.66510e-02,5.23960e-01
425,5.28370e-02,-2.12400e-02,6.85860e-01
430,4.42870e-02,-1.99360e-02,7.96040e-01
435,3.22200e-02,-1.60970e-02,8.94590e-01
440,1.47630e-02,-7.34570e-03,9.63950e-01
445,-2.33920e-03,1.36900e-03,9.98140e-01
450,-2.91300e-02,1.96100e-02,9.18750e-01
455,-6.06770e-02,4.34640e-02,8.24870e-01
460,-9.62240e-02,7.09540e-02,7.85540e-01
465,-1.37590e-01,1.10220e-01,6.67230e-01
470,-1.74860e-01,1.50880e-01,6.10980e-01
475,-2.12600e-01,1.97940e-01,4.88290e-01
480,-2.37800e-01,2.40420e-01,3.61950e-01
485,-2.56740e-01,2.79930e-01,2.66340e-01
490,-2.77270e-01,3.33530e-01,1.95930e-01
495,-2.91250e-01,4.05210e-01,1.47300e-01
500,-2.95000e-01,4.90600e-01,1.07490e-01
505,-2.97060e-01,5.96730e-01,7.67140e-02
510,-2.67590e-01,7.01840e-01,5.02480e-02
515,-2.17250e-01,8.08520e-01,2.87810e-02
520,-1.47680e-01,9.10760e-01,1.33090e-02
525,-3.51840e-02,9.84820e-01,2.11700e-03
530,1.06140e-01,1.03390e+00,-4.15740e-03
535,2.59810e-01,1.05380e+00,-8.30320e-03
540,4.19760e-01,1.05120e+00,-1.21910e-02
545,5.92590e-01,1.04980e+00,-1.40390e-02
550,7.90040e-01,1.03680e+00,-1.46810e-02
555,1.00780e+00,9.98260e-01,-1.49470e-02
560,1.22830e+00,9.37830e-01,-1.46130e-02
565,1.47270e+00,8.80390e-01,-1.37820e-02
570,1.74760e+00,8.28350e-01,-1.26500e-02
575,2.02140e+00,7.46860e-01,-1.13560e-02
580,2.27240e+00,6.49300e-01,-9.93170e-03
585,2.48960e+00,5.63170e-01,-8.41480e-03
590,2.67250e+00,4.76750e-01,-7.02100e-03
595,2.80930e+00,3.84840e-01,-5.74370e-03
600,2.87170e+00,3.00690e-01,-4.27430e-03
605,2.85250e+00,2.28530e-01,-2.91320e-03
610,2.76010e+00,1.65750e-01,-2.26930e-03
615,2.59890e+00,1.13730e-01,-1.99660e-03
620,2.37430e+00,7.46820e-02,-1.50690e-03
625,2.10540e+00,4.65040e-02,-9.38220e-04
630,1.81450e+00,2.63330e-02,-5.53160e-04
635,1.52470e+00,1.27240e-02,-3.16680e-04
640,1.25430e+00,4.50330e-03,-1.43190e-04
645,1.00760e+00,9.66110e-05,-4.08310e-06
650,7.86420e-01,-1.96450e-03,1.10810e-04
655,5.96590e-01,-2.63270e-03,1.91750e-04
660,4.43200e-01,-2.62620e-03,2.26560e-04
665,3.24100e-01,-2.30270e-03,2.15200e-04
670,2.34550e-01,-1.87000e-03,1.63610e-04
675,1.68840e-01,-1.44240e-03,9.71640e-05
680,1.20860e-01,-1.07550e-03,5.10330e-05
685,8.58110e-02,-7.90040e-04,3.52710e-05
690,6.02600e-02,-5.67650e-04,3.12110e-05
695,4.14800e-02,-3.92740e-04,2.45080e-05
700,2.81140e-02,-2.62310e-04,1.65210e-05
705,1.91170e-02,-1.75120e-04,1.11240e-05
710,1.33050e-02,-1.21400e-04,8.69650e-06
715,9.40920e-03,-8.57600e-05,7.43510e-06
720,6.51770e-03,-5.76770e-05,6.10570e-06
725,4.53770e-03,-3.90030e-05,5.02770e-06
730,3.17420e-03,-2.65110e-05,4.12510e-06
